ID,Latitude,Longitude,Altitude,dx,dy
1,41.7794943,-87.6443547,0,2,2
3,41.7216776,-87.6222322,0,2,2
6,41.9755882,-87.7137735,0,2,2
7,41.974624,-87.713159,0,2,2
10,41.968167,-87.6552449,0,2,2
11,41.6547286,-87.6022572,0,2,2
13,41.6589714,-87.5965854,0,2,2
14,41.85111,-87.636105,0,2,2
15,41.8008995,-87.7266121,0,2,2
16,41.8829897,-87.6672752,0,2,2
17,41.8410641,-87.6854531,0,2,2
18,41.9696981,-87.6599255,0,2,2
19,41.990699,-87.700837,0,2,2
20,41.7506721,-87.6505195,0,2,2
21,41.889135,-87.766925,0,2,2
22,41.877384,-87.748979,0,2,2
23,41.873958,-87.7520945,0,2,2
24,41.953279,-87.779458,0,2,2
25,41.746338,-87.58621,0,2,2
27,41.808302,-87.669383,0,2,2
28,41.7209725,-87.6756459,0,2,2
29,41.9714518,-87.6609184,0,2,2
31,41.8058315,-87.5903089,0,2,2
32,41.89317,-87.6610539,0,2,2
33,41.7323361,-87.6576514,0,2,2
35,41.8150354,-87.7027338,0,2,2
36,41.9123993,-87.6803408,0,2,2
37,41.9837114,-87.6961305,0,2,2
38,41.8164872,-87.64262,0,2,2
39,41.820267,-87.603826,0,2,2
40,41.7840956,-87.6026209,0,2,2
42,41.937491,-87.699636,0,2,2
46,41.870543,-87.678899,0,2,2
47,41.9949726,-87.6704061,0,2,2
48,41.8848378,-87.623105,0,2,2
49,41.8056646,-87.6242497,0,2,2
50,41.743501,-87.605588,0,2,2
52,41.828158,-87.6260439,0,2,2
54,41.8844834,-87.6319129,0,2,2
55,41.781961,-87.703538,0,2,2
56,41.8499993,-87.6319417,0,2,2
57,41.854485,-87.6358044,0,2,2
58,41.9733066,-87.6557077,0,2,2
60,41.7767661,-87.7821114,0,2,2
61,41.7803638,-87.6071767,0,2,2
62,41.886512,-87.678216,0,2,2
63,41.9146382,-87.6881374,0,2,2
64,41.7560068,-87.6578387,0,2,2
65,41.8815536,-87.745178,0,2,2
67,41.8325552,-87.6464745,0,2,2
69,41.8235415,-87.6262275,0,2,2
70,41.8420674,-87.6280554,0,2,2
71,41.8645095,-87.7096584,0,2,2
72,41.9431859,-87.8138536,0,2,2
74,41.879925,-87.804292,0,2,2
75,41.9028318,-87.6925692,0,2,2
76,41.9969867,-87.7622019,0,2,2
77,41.9909171,-87.6607731,0,2,2
78,41.9896066,-87.6600553,0,2,2
80,41.7506407,-87.6530146,0,2,2
81,41.7795429,-87.642197,0,2,2
82,41.8459775,-87.7304195,0,2,2
85,41.758544,-87.6191149,0,2,2
86,41.793424,-87.694126,0,2,2
89,41.7930119,-87.780138,0,2,2
90,41.7368067,-87.54584,0,2,2
91,41.7831076,-87.6839492,0,2,2
92,41.7791448,-87.6851616,0,2,2
93,41.871285,-87.62541,0,2,2
94,41.7504189,-87.6535498,0,2,2
95,41.7622942,-87.6004879,0,2,2
96,41.778888,-87.688728,0,2,2
97,41.8866252,-87.6255869,0,2,2
98,41.8074458,-87.6227727,0,2,2
100,41.9730854,-87.6549438,0,2,2
101,41.8762169,-87.6282726,0,2,2
102,41.9650863,-87.6590226,0,2,2
104,41.659276,-87.5488831,0,2,2
108,41.9104786,-87.7052918,0,2,2
109,41.9117075,-87.696675,0,2,2
111,41.7792569,-87.6927863,0,2,2
112,41.9539814,-87.7174661,0,2,2
113,41.887057,-87.678011,0,2,2
114,41.9648454,-87.6573372,0,2,2
115,41.8102159,-87.6702229,0,2,2
116,41.8457168,-87.6855535,0,2,2
117,41.847261,-87.683703,0,2,2
118,41.968817,-87.659241,0,2,2
121,41.9869243,-87.7012123,0,2,2
122,41.9681586,-87.7611999,0,2,2
123,41.7134852,-87.5657795,0,2,2
124,42.0002408,-87.6997273,0,2,2
129,41.7823511,-87.6375226,0,2,2
131,41.930039,-87.746111,0,2,2
132,41.7801327,-87.6445241,0,2,2
133,41.8323135,-87.6173487,0,2,2
134,41.7024789,-87.5391099,0,2,2
135,41.9595429,-87.698748,0,2,2
136,41.9096915,-87.7157608,0,2,2
139,41.851878,-87.72142,0,2,2
140,41.8457052,-87.6946598,0,2,2
141,41.915912,-87.657874,0,2,2
142,41.8791862,-87.7255892,0,2,2
143,41.9405646,-87.6708138,0,2,2
144,41.9254616,-87.6580836,0,2,2
145,41.8495518,-87.7049711,0,2,2
146,41.925073,-87.7034385,0,2,2
147,41.7201045,-87.737158,0,2,2
148,41.8576229,-87.660933,0,2,2
149,41.8766478,-87.6295485,0,2,2
150,41.8762451,-87.6742175,0,2,2
151,41.881136,-87.6793361,0,2,2
152,41.7435859,-87.6230591,0,2,2
153,41.98113,-87.805999,0,2,2
154,41.9395382,-87.7665165,0,2,2
155,41.9681483,-87.7378923,0,2,2
156,41.830142,-87.673438,0,2,2
157,41.940347,-87.646062,0,2,2
159,41.883256,-87.700987,0,2,2
161,41.692987,-87.701221,0,2,2
162,41.8578567,-87.6690819,0,2,2
164,41.9039929,-87.6366889,0,2,2
165,41.9094902,-87.7686666,0,2,2
166,41.9554054,-87.686089,0,2,2
167,41.9101167,-87.7340379,0,2,2
168,41.9687272,-87.6799586,0,2,2
169,41.9988295,-87.6994789,0,2,2
170,41.938154,-87.7225466,0,2,2
171,41.9864894,-87.7940875,0,2,2
173,41.8856276,-87.6265773,0,2,2
174,41.808484,-87.698055,0,2,2
175,41.931073,-87.762323,0,2,2
176,41.9780232,-87.8132945,0,2,2
178,41.684479,-87.65216,0,2,2
179,41.8549731,-87.6514557,0,2,2
181,41.8586643,-87.6575431,0,2,2
182,41.7934136,-87.7777673,0,2,2
183,41.955369,-87.7635893,0,2,2
184,41.9388245,-87.7549204,0,2,2
185,41.8523645,-87.6320533,0,2,2
186,41.6944309,-87.6182666,0,2,2
187,41.93753,-87.665162,0,2,2
188,41.723749,-87.628359,0,2,2
190,41.9919012,-87.7982427,0,2,2
191,42.0067662,-87.6733461,0,2,2
193,41.8692521,-87.6544375,0,2,2
194,41.704555,-87.621149,0,2,2
195,41.7993986,-87.6939437,0,2,2
196,41.877837,-87.64222,0,2,2
199,41.7493885,-87.724307,0,2,2
200,41.7942194,-87.6548825,0,2,2
201,41.8621374,-87.6928013,0,2,2
202,41.7305075,-87.549862,0,2,2
203,41.7378296,-87.5514627,0,2,2
204,41.727986,-87.549122,0,2,2
205,41.7276926,-87.545567,0,2,2
206,41.8612535,-87.6255589,0,2,2
207,41.762536,-87.5637698,0,2,2
209,41.751518,-87.5810614,0,2,2
210,41.780784,-87.722443,0,2,2
211,41.7820279,-87.702849,0,2,2
212,41.7561784,-87.7238989,0,2,2
213,41.8625227,-87.7030765,0,2,2
214,41.911744,-87.667323,0,2,2
215,41.9625911,-87.6842925,0,2,2
216,41.7841018,-87.6129055,0,2,2
218,41.8804357,-87.6447758,0,2,2
220,41.7575973,-87.6539338,0,2,2
221,41.842065,-87.724832,0,2,2
223,41.9583386,-87.6541599,0,2,2
224,41.808059,-87.731004,0,2,2
225,41.703003,-87.533518,0,2,2
226,41.6920669,-87.6740839,0,2,2
229,41.8258243,-87.6313471,0,2,2
230,41.9366209,-87.7858839,0,2,2
231,41.8949932,-87.7477015,0,2,2
232,41.779098,-87.6682019,0,2,2
233,41.894691,-87.7061905,0,2,2
234,41.895736,-87.717197,0,2,2
235,41.7786534,-87.7238269,0,2,2
236,41.6777914,-87.6431997,0,2,2
237,41.895741,-87.667921,0,2,2
238,41.880568,-87.7403821,0,2,2
239,41.880336,-87.731066,0,2,2
240,41.895251,-87.746162,0,2,2
241,41.7510929,-87.6149593,0,2,2
242,41.958826,-87.788787,0,2,2
243,41.7207984,-87.6429995,0,2,2
244,41.7375841,-87.7022748,0,2,2
246,41.774736,-87.606204,0,2,2
247,41.8808503,-87.7061056,0,2,2
248,41.9503142,-87.7470834,0,2,2
249,41.845649,-87.6841139,0,2,2
250,41.895228,-87.713077,0,2,2
251,41.9626902,-87.6748284,0,2,2
252,41.901916,-87.762404,0,2,2
254,41.9018592,-87.7067781,0,2,2
255,41.681142,-87.641645,0,2,2
257,41.8162639,-87.607065,0,2,2
258,41.9681365,-87.654829,0,2,2
259,41.7974995,-87.7528304,0,2,2
260,41.8836686,-87.6250434,0,2,2
261,41.895987,-87.6555939,0,2,2
262,41.7503287,-87.6537187,0,2,2
263,41.9103207,-87.6926311,0,2,2
264,41.7141036,-87.5903737,0,2,2
266,42.0193531,-87.6718115,0,2,2
267,41.895745,-87.668496,0,2,2
269,41.844634,-87.723828,0,2,2
271,41.8230779,-87.6754885,0,2,2
272,41.7531082,-87.6052442,0,2,2
275,41.920236,-87.7609555,0,2,2
285,41.779397,-87.645529,0,2,2
286,41.8096104,-87.5994991,0,2,2
287,41.864058,-87.648208,0,2,2
288,41.8628797,-87.6226729,0,2,2
290,41.7680281,-87.5744957,0,2,2
291,41.8412923,-87.6590399,0,2,2
292,41.8854815,-87.7553462,0,2,2
293,41.8312243,-87.6106167,0,2,2
294,41.7563478,-87.635009,0,2,2
295,41.9623528,-87.6609895,0,2,2
296,41.882258,-87.741359,0,2,2
297,41.9672462,-87.674108,0,2,2
300,41.7693978,-87.6372633,0,2,2
301,41.7435182,-87.6001448,0,2,2
302,41.9633759,-87.651872,0,2,2
305,41.779452,-87.647441,0,2,2
306,41.965072,-87.6535169,0,2,2
307,41.7232595,-87.6626443,0,2,2
308,41.713539,-87.642583,0,2,2
309,41.8874852,-87.709805,0,2,2
310,41.8835551,-87.6791072,0,2,2
311,41.822958,-87.601821,0,2,2
312,41.8170701,-87.6005152,0,2,2
313,41.910547,-87.696534,0,2,2
314,41.897207,-87.623225,0,2,2
316,41.9488772,-87.6498011,0,2,2
317,41.7587029,-87.569185,0,2,2
318,41.9078093,-87.6645798,0,2,2
319,41.996635,-87.699945,0,2,2
320,41.8256226,-87.6246491,0,2,2
321,41.8256232,-87.6246493,0,2,2
322,41.798666,-87.617222,0,2,2
323,41.8253438,-87.623127,0,2,2
324,41.916117,-87.726868,0,2,2
325,41.8555635,-87.6627605,0,2,2
326,41.731456,-87.55165,0,2,2
327,41.7522957,-87.6538101,0,2,2
328,41.896088,-87.7215669,0,2,2
329,41.8805999,-87.7512388,0,2,2
330,41.9172364,-87.7044287,0,2,2
331,41.8097203,-87.6162308,0,2,2
